 No.     Event UTC A-NODE     Event SCLK A-NODE    OP-Event UTC D-NODE       Alt
=====  ====================  ====================  ====================  ==========
    1  2018 JAN 31 22:41:25    1/14732477:79:7:7   2018 JAN 31 23:27:39      404.64
    2  2018 FEB 01 00:14:01    1/14732569:41:8:5   2018 FEB 01 01:00:15      404.65
    3  2018 FEB 01 01:46:37    1/14732661:03:9:3   2018 FEB 01 02:32:51      404.65
    4  2018 FEB 01 03:19:13    1/14732752:57:0:1   2018 FEB 01 04:05:27      404.66
    5  2018 FEB 01 04:51:49    1/14732844:19:0:6   2018 FEB 01 05:38:03      404.66
    6  2018 FEB 01 06:24:25    1/14732935:72:1:4   2018 FEB 01 07:10:39      404.67
    7  2018 FEB 01 07:57:01    1/14733027:34:2:1   2018 FEB 01 08:43:15      404.68
    8  2018 FEB 01 09:29:37    1/14733118:87:2:6   2018 FEB 01 10:15:51      404.68
    9  2018 FEB 01 11:02:13    1/14733210:49:3:3   2018 FEB 01 11:48:27      404.69
   10  2018 FEB 01 12:34:49    1/14733302:11:3:7   2018 FEB 01 13:21:03      404.70
   11  2018 FEB 01 14:07:25    1/14733393:64:4:4   2018 FEB 01 14:53:39      404.70
   12  2018 FEB 01 15:40:01    1/14733485:26:5:0   2018 FEB 01 16:26:15      404.71
   13  2018 FEB 01 17:12:38    1/14733576:79:5:5   2018 FEB 01 17:58:52      404.72
   14  2018 FEB 01 18:45:14    1/14733668:41:6:1   2018 FEB 01 19:31:28      404.72
   15  2018 FEB 01 20:17:50    1/14733760:03:6:4   2018 FEB 01 21:04:04      404.73
   16  2018 FEB 01 21:50:26    1/14733851:56:7:0   2018 FEB 01 22:36:40      404.74
   17  2018 FEB 01 23:23:02    1/14733943:18:7:4   2018 FEB 02 00:09:16      404.74
   18  2018 FEB 02 00:55:38    1/14734034:71:7:7   2018 FEB 02 01:41:52      404.75
   19  2018 FEB 02 02:28:14    1/14734126:33:8:2   2018 FEB 02 03:14:28      404.76
   20  2018 FEB 02 04:00:50    1/14734217:86:8:5   2018 FEB 02 04:47:04      404.76
   21  2018 FEB 02 05:33:26    1/14734309:48:9:0   2018 FEB 02 06:19:40      404.77
   22  2018 FEB 02 07:06:02    1/14734401:10:9:3   2018 FEB 02 07:52:16      404.78
   23  2018 FEB 02 08:38:38    1/14734492:63:9:5   2018 FEB 02 09:24:52      404.79
   24  2018 FEB 02 10:11:14    1/14734584:26:0:0   2018 FEB 02 10:57:28      404.79
   25  2018 FEB 02 11:43:50    1/14734675:79:0:2   2018 FEB 02 12:30:04      404.80
   26  2018 FEB 02 13:16:26    1/14734767:41:0:4   2018 FEB 02 14:02:40      404.81
   27  2018 FEB 02 14:49:02    1/14734859:03:0:6   2018 FEB 02 15:35:16      404.81
   28  2018 FEB 02 16:21:38    1/14734950:56:0:7   2018 FEB 02 17:07:52      404.82
   29  2018 FEB 02 17:54:14    1/14735042:18:1:1   2018 FEB 02 18:40:28      404.83
   30  2018 FEB 02 19:26:50    1/14735133:71:1:2   2018 FEB 02 20:13:04      404.83
   31  2018 FEB 02 20:59:26    1/14735225:33:1:3   2018 FEB 02 21:45:40      404.84
   32  2018 FEB 02 22:32:02    1/14735316:86:1:4   2018 FEB 02 23:18:16      404.85
   33  2018 FEB 03 00:04:38    1/14735408:48:1:5   2018 FEB 03 00:50:52      404.86
   34  2018 FEB 03 01:37:14    1/14735500:10:1:5   2018 FEB 03 02:23:28      404.86
   35  2018 FEB 03 03:09:50    1/14735591:63:1:4   2018 FEB 03 03:56:04      404.87
   36  2018 FEB 03 04:42:26    1/14735683:25:1:4   2018 FEB 03 05:28:40      404.88
   37  2018 FEB 03 06:15:02    1/14735774:78:1:2   2018 FEB 03 07:01:16      404.89
   38  2018 FEB 03 07:47:38    1/14735866:40:1:1   2018 FEB 03 08:33:52      404.90
   39  2018 FEB 03 09:20:14    1/14735958:02:1:0   2018 FEB 03 10:06:28      404.91
   40  2018 FEB 03 10:52:50    1/14736049:55:0:7   2018 FEB 03 11:39:04      404.92
   41  2018 FEB 03 12:25:26    1/14736141:17:0:6   2018 FEB 03 13:11:40      404.92
   42  2018 FEB 03 13:58:02    1/14736232:70:0:5   2018 FEB 03 14:44:16      404.93
   43  2018 FEB 03 15:30:38    1/14736324:32:0:3   2018 FEB 03 16:16:52      404.93
   44  2018 FEB 03 17:03:14    1/14736415:85:0:2   2018 FEB 03 17:49:28      404.94
   45  2018 FEB 03 18:35:50    1/14736507:47:0:0   2018 FEB 03 19:22:04      404.94
   46  2018 FEB 03 20:08:26    1/14736599:08:9:6   2018 FEB 03 20:54:40      404.95
   47  2018 FEB 03 21:41:02    1/14736690:61:9:4   2018 FEB 03 22:27:16      404.95
   48  2018 FEB 03 23:13:38    1/14736782:23:9:4   2018 FEB 03 23:59:52      404.96
   49  2018 FEB 04 00:46:14    1/14736873:76:9:3   2018 FEB 04 01:32:28      404.97
   50  2018 FEB 04 02:18:50    1/14736965:38:9:3   2018 FEB 04 03:05:04      404.97
   51  2018 FEB 04 03:51:26    1/14737057:00:9:2   2018 FEB 04 04:37:39      404.98
   52  2018 FEB 04 05:24:02    1/14737148:53:9:2   2018 FEB 04 06:10:15      404.98
   53  2018 FEB 04 06:56:38    1/14737240:15:9:1   2018 FEB 04 07:42:51      404.99
   54  2018 FEB 04 08:29:14    1/14737331:68:8:6   2018 FEB 04 09:15:27      405.00
   55  2018 FEB 04 10:01:50    1/14737423:30:8:3   2018 FEB 04 10:48:03      405.00
   56  2018 FEB 04 11:34:26    1/14737514:83:8:1   2018 FEB 04 12:20:39      405.01
   57  2018 FEB 04 13:07:02    1/14737606:45:7:6   2018 FEB 04 13:53:15      405.02
   58  2018 FEB 04 14:39:37    1/14737698:07:7:3   2018 FEB 04 15:25:51      405.02
   59  2018 FEB 04 16:12:13    1/14737789:60:7:1   2018 FEB 04 16:58:27      405.03
   60  2018 FEB 04 17:44:49    1/14737881:22:6:6   2018 FEB 04 18:31:03      405.03
   61  2018 FEB 04 19:17:25    1/14737972:75:6:3   2018 FEB 04 20:03:39      405.04
   62  2018 FEB 04 20:50:01    1/14738064:37:6:0   2018 FEB 04 21:36:15      405.05
   63  2018 FEB 04 22:22:37    1/14738155:90:5:4   2018 FEB 04 23:08:51      405.05
   64  2018 FEB 04 23:55:13    1/14738247:52:5:0   2018 FEB 05 00:41:27      405.06
   65  2018 FEB 05 01:27:49    1/14738339:14:4:4   2018 FEB 05 02:14:03      405.07
   66  2018 FEB 05 03:00:25    1/14738430:67:3:7   2018 FEB 05 03:46:39      405.08
   67  2018 FEB 05 04:33:01    1/14738522:29:3:2   2018 FEB 05 05:19:15      405.09
   68  2018 FEB 05 06:05:37    1/14738613:82:2:6   2018 FEB 05 06:51:51      405.09
   69  2018 FEB 05 07:38:13    1/14738705:44:2:1   2018 FEB 05 08:24:27      405.10
   70  2018 FEB 05 09:10:49    1/14738797:06:1:3   2018 FEB 05 09:57:03      405.11
   71  2018 FEB 05 10:43:25    1/14738888:59:0:6   2018 FEB 05 11:29:39      405.12
   72  2018 FEB 05 12:16:01    1/14738980:21:0:0   2018 FEB 05 13:02:15      405.12
   73  2018 FEB 05 13:48:37    1/14739071:73:9:3   2018 FEB 05 14:34:51      405.13
   74  2018 FEB 05 15:21:13    1/14739163:35:8:5   2018 FEB 05 16:07:27      405.14
   75  2018 FEB 05 16:53:49    1/14739254:88:7:7   2018 FEB 05 17:40:03      405.15
   76  2018 FEB 05 18:26:25    1/14739346:50:7:1   2018 FEB 05 19:12:39      405.16
   77  2018 FEB 05 19:59:01    1/14739438:12:6:2   2018 FEB 05 20:45:14      405.16
   78  2018 FEB 05 21:31:37    1/14739529:65:5:4   2018 FEB 05 22:17:50      405.17
   79  2018 FEB 05 23:04:13    1/14739621:27:4:5   2018 FEB 05 23:50:26      405.18
   80  2018 FEB 06 00:36:48    1/14739712:80:3:6   2018 FEB 06 01:23:02      405.19
   81  2018 FEB 06 02:09:24    1/14739804:42:2:7   2018 FEB 06 02:55:38      405.20
   82  2018 FEB 06 03:42:00    1/14739896:04:2:0   2018 FEB 06 04:28:14      405.20
   83  2018 FEB 06 05:14:36    1/14739987:57:1:1   2018 FEB 06 06:00:50      405.21
   84  2018 FEB 06 06:47:12    1/14740079:19:0:1   2018 FEB 06 07:33:26      405.22
   85  2018 FEB 06 08:19:48    1/14740170:71:9:2   2018 FEB 06 09:06:02      405.23
   86  2018 FEB 06 09:52:24    1/14740262:33:8:2   2018 FEB 06 10:38:38      405.23
   87  2018 FEB 06 11:25:00    1/14740353:86:7:2   2018 FEB 06 12:11:14      405.24
   88  2018 FEB 06 12:57:36    1/14740445:48:6:2   2018 FEB 06 13:43:50      405.25
   89  2018 FEB 06 14:30:12    1/14740537:10:5:1   2018 FEB 06 15:16:26      405.26
   90  2018 FEB 06 16:02:48    1/14740628:63:4:1   2018 FEB 06 16:49:02      405.27
   91  2018 FEB 06 17:35:24    1/14740720:25:3:0   2018 FEB 06 18:21:38      405.27
   92  2018 FEB 06 19:08:00    1/14740811:78:1:7   2018 FEB 06 19:54:13      405.28
   93  2018 FEB 06 20:40:36    1/14740903:40:0:7   2018 FEB 06 21:26:49      405.29
   94  2018 FEB 06 22:13:12    1/14740995:01:9:5   2018 FEB 06 22:59:25      405.30
   95  2018 FEB 06 23:45:47    1/14741086:54:8:4   2018 FEB 07 00:32:01      405.31
   96  2018 FEB 07 01:18:23    1/14741178:16:7:3   2018 FEB 07 02:04:37      405.31
   97  2018 FEB 07 02:50:59    1/14741269:69:6:1   2018 FEB 07 03:37:13      405.32
   98  2018 FEB 07 04:23:35    1/14741361:31:4:7   2018 FEB 07 05:09:49      405.33
   99  2018 FEB 07 05:56:11    1/14741452:84:3:5   2018 FEB 07 06:42:25      405.34
  100  2018 FEB 07 07:28:47    1/14741544:46:2:3   2018 FEB 07 08:15:01      405.35
  101  2018 FEB 07 09:01:23    1/14741636:08:1:1   2018 FEB 07 09:47:37      405.35
  102  2018 FEB 07 10:33:59    1/14741727:60:9:7   2018 FEB 07 11:20:13      405.36
  103  2018 FEB 07 12:06:35    1/14741819:22:8:4   2018 FEB 07 12:52:48      405.37
  104  2018 FEB 07 13:39:11    1/14741910:75:7:1   2018 FEB 07 14:25:24      405.38
  105  2018 FEB 07 15:11:47    1/14742002:37:5:7   2018 FEB 07 15:58:00      405.39
  106  2018 FEB 07 16:44:22    1/14742093:90:4:3   2018 FEB 07 17:30:36      405.39
  107  2018 FEB 07 18:16:58    1/14742185:52:3:0   2018 FEB 07 19:03:12      405.40
  108  2018 FEB 07 19:49:34    1/14742277:14:1:5   2018 FEB 07 20:35:48      405.41
  109  2018 FEB 07 21:22:10    1/14742368:67:0:1   2018 FEB 07 22:08:24      405.42
  110  2018 FEB 07 22:54:46    1/14742460:28:8:6   2018 FEB 07 23:41:00      405.43
  111  2018 FEB 08 00:27:22    1/14742551:81:7:2   2018 FEB 08 01:13:36      405.43
  112  2018 FEB 08 01:59:58    1/14742643:43:5:6   2018 FEB 08 02:46:12      405.44
  113  2018 FEB 08 03:32:34    1/14742735:05:4:2   2018 FEB 08 04:18:47      405.45
  114  2018 FEB 08 05:05:10    1/14742826:58:2:5   2018 FEB 08 05:51:23      405.46
  115  2018 FEB 08 06:37:46    1/14742918:20:1:1   2018 FEB 08 07:23:59      405.47
  116  2018 FEB 08 08:10:21    1/14743009:72:9:4   2018 FEB 08 08:56:35      405.47
  117  2018 FEB 08 09:42:57    1/14743101:34:7:7   2018 FEB 08 10:29:11      405.48
  118  2018 FEB 08 11:15:33    1/14743192:87:6:2   2018 FEB 08 12:01:47      405.49
  119  2018 FEB 08 12:48:09    1/14743284:49:4:5   2018 FEB 08 13:34:23      405.50
  120  2018 FEB 08 14:20:45    1/14743376:11:3:0   2018 FEB 08 15:06:59      405.51
  121  2018 FEB 08 15:53:21    1/14743467:64:1:2   2018 FEB 08 16:39:35      405.52
  122  2018 FEB 08 17:25:57    1/14743559:25:9:5   2018 FEB 08 18:12:10      405.52
  123  2018 FEB 08 18:58:33    1/14743650:78:7:7   2018 FEB 08 19:44:46      405.53
  124  2018 FEB 08 20:31:08    1/14743742:40:6:1   2018 FEB 08 21:17:22      405.54
  125  2018 FEB 08 22:03:44    1/14743834:02:4:3   2018 FEB 08 22:49:58      405.55
  126  2018 FEB 08 23:36:20    1/14743925:55:2:4   2018 FEB 09 00:22:34      405.56
  127  2018 FEB 09 01:08:56    1/14744017:17:0:6   2018 FEB 09 01:55:10      405.56
  128  2018 FEB 09 02:41:32    1/14744108:69:8:7   2018 FEB 09 03:27:46      405.57
  129  2018 FEB 09 04:14:08    1/14744200:31:7:0   2018 FEB 09 05:00:22      405.58
  130  2018 FEB 09 05:46:44    1/14744291:84:5:1   2018 FEB 09 06:32:57      405.59
  131  2018 FEB 09 07:19:20    1/14744383:46:3:2   2018 FEB 09 08:05:33      405.60
  132  2018 FEB 09 08:51:55    1/14744475:08:1:3   2018 FEB 09 09:38:09      405.60
  133  2018 FEB 09 10:24:31    1/14744566:60:9:4   2018 FEB 09 11:10:45      405.61
  134  2018 FEB 09 11:57:07    1/14744658:22:7:4   2018 FEB 09 12:43:21      405.62
  135  2018 FEB 09 13:29:43    1/14744749:75:5:4   2018 FEB 09 14:15:57      405.63
  136  2018 FEB 09 15:02:19    1/14744841:37:3:4   2018 FEB 09 15:48:33      405.64
  137  2018 FEB 09 16:34:55    1/14744932:90:1:4   2018 FEB 09 17:21:09      405.64
  138  2018 FEB 09 18:07:31    1/14745024:51:9:4   2018 FEB 09 18:53:44      405.65
  139  2018 FEB 09 19:40:07    1/14745116:13:7:4   2018 FEB 09 20:26:20      405.66
  140  2018 FEB 09 21:12:42    1/14745207:66:5:3   2018 FEB 09 21:58:56      405.67
  141  2018 FEB 09 22:45:18    1/14745299:28:3:2   2018 FEB 09 23:31:32      405.68
  142  2018 FEB 10 00:17:54    1/14745390:81:1:1   2018 FEB 10 01:04:08      405.68
  143  2018 FEB 10 01:50:30    1/14745482:42:9:0   2018 FEB 10 02:36:44      405.69
  144  2018 FEB 10 03:23:06    1/14745574:04:6:7   2018 FEB 10 04:09:20      405.70
